userName,at,content,score
Yasser Firdaus,2024-07-10 11:59:16,kok top up kmt jadi eror uangnya di sedot saldonya ga masuk ga ada pengembalian dana,1
Ardi,2024-07-11 11:45:59,ga bisa dibuka apk nya lelet bgt,1
Deniepung 13,2024-07-12 06:10:36,pembayaran nya cuma lewat gopay tolong di tingkatkan utk va bank nya biar semakin mempermudah,1
farhan :v,2024-07-12 14:04:31,tolol anjj,1
rivai ahmad,2024-07-12 15:56:31,jadwal gak sesuai suka telat dan gak sinkron kalau blm siap jgn bkin apk nya ,1
Watch FII,2024-07-13 05:49:53,negara sejuta aplikasi dikit buat aplikasi pakai vendor di hp gua udah ada aplikasi krl yg lama tiap beberapa tahun ganti tolol,1
Putri Winny,2024-07-13 08:51:30,pdhl uda disambungin ke gojek gopay tp tbtb pembayaran gabisa ,2
Bang Yudizz,2024-07-13 12:05:22,gajelas,1
Mahyudin Azis,2024-07-13 12:30:03,aplikasi pler kalo belum siap sama era online atau era digital jangan maksain pler,1
De Rifqi,2024-07-14 02:55:40,apk tai udh pencet login x ttep bae gbisa padahal sandi no telpon sama email jga udh bner smua,1
Andika Rifki Nugroho,2024-07-14 17:00:01,apk jelek gak bisa buat topup,1
