userName,at,content,score
abu fuad sariyo,2024-07-02 09:05:56,"Berbulan bulan mau ngelink ke gopay ga bisa bisa. Bilangnya ""account not found"". Hubungi admin katanya suruh hapus chace lah, install ulang lah , sampai puluhan kali tetap ga bisa ngelink ke gopay. Waduh developer tolonglah perbaiki ini aplikasi.",1
Aldy Muhammad,2024-07-02 15:39:40,"ga realtime, selisih waktunya bisa 5 menit lebih",1
Najwanadia 2810,2024-07-02 16:52:27,Gak bisa login aneh bgt,2
imam photograph676,2024-07-03 09:15:19,gabisa login malas🧢,1
Ferly Akunk,2024-07-04 00:48:53,"Ribet, dan lelet masih lebih update dulu KRL Acces",1
Rizki Maulana,2024-07-04 06:54:05,Mending aplikasi yg lama 😒,1
QZ Collection,2024-07-04 09:53:43,Semakin lama semakin tambah lemot...,1
Rahmawati Ahmad,2024-07-05 02:54:02,Rutenya kenapa gabisa dibuka sih. Sgt² tidak membantu.,1
Fatih Nugroho,2024-07-05 17:11:16,Aplikasi ribettttt Masukan sandi tetep salah Ribettt,1
Andreas Pranata Gultom,2024-07-06 07:28:08,"Aplikasi Bug, sekuat apapun Internet tetap saja tidak muncul. Contohnya, seperti Peta Rute KRL. Jadi, Uinstall Aplikasi.",1
Yudit Argantara,2024-07-07 00:55:07,susah banget mau daftar akun,2
Muhamad Suardi,2024-07-07 12:00:18,Apk anying kaga jls kaga bisa daftar,1
ROHMAT HIDAYAT,2024-07-07 12:42:50,LEMOT BELOM ADA PERBAIKAN,1
Aji Yudha,2024-07-07 23:37:29,Aplikasi nya kurang bagus lemot bngt sering terjadi gangguan dengan aplikasi ini,3
Ichsan Maa'arif,2024-07-08 00:07:19,too lagging for open the apps,1
Jujun Junaedi,2024-07-08 00:55:48,Eror mulu,1
Rina Ayu Panca Rini,2024-07-08 02:03:22,Ribett suka gak sesuai maps,1
Steven Christian,2024-07-09 02:42:03,Masih bingung gunanya buat aplikasi banyak-banyak untuk apa sih. Mana bukannya yang lancar juga performanya,2
レム GAMING,2024-07-09 14:38:20,Gak bisa topup,1
HARIO RAHARDY,2024-07-09 14:44:46,Gak pernah di perhatiin nih apknya,1
elsya triani,2024-07-10 00:05:05,Tolong perbaiki lagii apk nya sangat lemot sekali. Mau liat jadwal gangguan mulu,2
Mozaic waltz,2024-07-10 00:09:14,"trouble teros, pelayanan publik di indonesia gak ada yg bener, gak becus bikin aplikasi 🖕🏻",1
Agung Maulana,2024-07-10 00:28:56,"Jelek aplikasi lu, mau regist akun aja kaga bisa bisa",1
Budi Utomo,2024-07-10 00:31:11,"aplikasi sering banget bermasalah, mengenaskan. Masih bagus aps yg lama.",1
Fanfan,2024-07-10 00:35:49,gangguan mulu,1
Deny Adi Purwanto,2024-07-10 01:07:43,Tidak berfungsi buat lihat posisi kereta,1
Bukhori 06,2024-07-10 01:15:25,"Ini aplikasi sering banget error, kgk jelas. Perbaikilah,",1
Melinda Wahyuningsih,2024-07-10 01:33:22,JANGAN DI DOWNLOAD. TIKETNYA TIBA² HILANG. PADAHAL SUDAH BAYAR,1
pikry aly,2024-07-10 01:51:09,stuck loading mulu ni apk,1
Angga Syahrul Anam,2024-07-10 02:40:59,Aplikasinya Aneh Gangguan Mulu Sedangkan Jaringan Full Lancar jaya Pas nyoba Buat akun Pun Sama Gangguan Cuma mau cek rute doang Ribet Loadingnya lama banget udah Nunggu loading pas beres malah Gangguan,1
Muhammad Albar,2024-07-10 03:38:57,"Sering error ,mohon di perbaiki secepat mungkin",1
Farhan Ramadhan,2024-07-10 03:39:04,udah bener KAI Acces malah ganti C Acces yang tiap hari gangguan haha,1
Ice bong,2024-07-10 03:53:08,Susah masuk nya masih bagusan yg lama,1
Arief Setiawan,2024-07-10 04:03:16,Gk bisa dibuka,1
Sulaiman,2024-07-10 06:07:36,Parah gak update banget jadwalnya.. harusnya realtime lah. Ada kendala apapun di hari itu ya kasih push notifikasi. Jadi ketinggalan 25 menit,2
iyansyah,2024-07-10 09:14:01,Lemot tidak bisa di buka,1
rifky aziz,2024-07-10 09:44:37,app gaje mending yg dulu,1
Oka 8,2024-07-10 11:54:30,"Untuk pencarian jdwal kreta, sering eror. Terimakasih",3
Yasser Firdaus,2024-07-10 11:59:16,Kok top up kmt jadi eror uangnya di sedot saldonya ga masuk ga ada pengembalian dana🤨,1
Ardi,2024-07-11 11:45:59,"Ga bisa dibuka apk nya, lelet bgt",1
Deniepung 13,2024-07-12 06:10:36,"pembayaran nya cuma lewat gopay, tolong di tingkatkan utk VA bank"" nya biar semakin mempermudah",1
farhan :v,2024-07-12 14:04:31,tolol anjj,1
rivai ahmad,2024-07-12 15:56:31,Jadwal gak sesuai suka telat dan gak sinkron...kalau blm siap ..jgn bkin apk nya..,1
Watch FII,2024-07-13 05:49:53,"Negara sejuta aplikasi, dikit2 buat aplikasi pakai vendor, di HP gua udah ada 3 aplikasi KRL yg lama, tiap beberapa tahun ganti, tolol",1
Putri Winny,2024-07-13 08:51:30,pdhl uda disambungin ke gojek/gopay tp tbtb pembayaran gabisa -_-,2
Bang Yudizz,2024-07-13 12:05:22,Gajelas,1
Mahyudin Azis,2024-07-13 12:30:03,"Aplikasi pler, kalo belum siap sama era online atau era digital jangan maksain pler",1
De Rifqi,2024-07-14 02:55:40,Apk tai udh pencet login 15x ttep Bae gbisa padahal sandi no telpon sama email jga udh Bner smua,1
Andika Rifki Nugroho,2024-07-14 17:00:01,apk jelek gak bisa buat topup,1
